Title,URL
"Hello world!",https://yombal.sn/index.php/2025/09/20/hello-world/
Boutique,https://yombal.sn/index.php/boutique/
Panier,https://yombal.sn/index.php/panier/
"Validation de la commande",https://yombal.sn/index.php/commander/
"Mon compte",https://yombal.sn/index.php/mon-compte/
"Politique en matière de remboursements et de retours",https://yombal.sn/index.php/remboursements_retours/
"Vendor Dashboard",https://yombal.sn/index.php/dashboard/
"Vendor Registration",https://yombal.sn/index.php/vendor-registration/
"En attente validation client",https://yombal.sn/index.php/woocos_order_status/en-attente-validation-client/
"En litige",https://yombal.sn/index.php/woocos_order_status/en-litige/
Accueil,https://yombal.sn/
"Catalogue Tailleurs",https://yombal.sn/index.php/catalogue-tailleurs/
"Catalogue Tissus",https://yombal.sn/index.php/catalogue-tissus/
Mesures,https://yombal.sn/index.php/mesures-2/
Litige,https://yombal.sn/index.php/litige/
Contact,https://yombal.sn/index.php/contact/
"À propos",https://yombal.sn/index.php/a-propos/
"Mentions légales",https://yombal.sn/index.php/mentions-legales/
"Politique de confidentialité",https://yombal.sn/index.php/politique-de-confidentialite/
"Conditions générales d’utilisation",https://yombal.sn/index.php/conditions-generales-dutilisation/
"Formulaire de demande de remboursement",https://yombal.sn/index.php/formulaire-de-demande-de-remboursement-2/
"View Order Messages",https://yombal.sn/index.php/afficher-commande-msg-2/
